Actual,Predicted
3009.080078125,2867.976
3012.2099609375,2886.9065
2996.40991210937,2887.5977
2995.669921875,2875.7908
3001.5,2876.5254
3010.36010742187,2880.0037
3008.419921875,2888.1562
2983.5,2884.4233
3002.42993164062,2862.78
2968.35009765625,2886.7678
2985.72998046875,2842.5276
2985.46997070313,2877.1067
2967.07006835938,2859.2808
2983.68994140625,2852.592
2924.78002929687,2868.057
2885.3798828125,2803.0696
2918.56005859375,2787.332
2944.22998046875,2813.2534
2920.39990234375,2828.4053
2911.10009765625,2807.6946
2918.55004882812,2806.3386
2963.07006835938,2809.1187
2965.81005859375,2851.7961
2973.61010742187,2843.532
2989.67993164062,2860.567
3000.77001953125,2869.6113
2996.84008789063,2879.447
2996.47998046875,2875.0435
3010.72998046875,2877.013
2994.01000976562,2889.8762
3014.78002929688,2869.7505
3003.32006835937,2898.2073
3032.1201171875,2873.7893
3035.38989257812,2914.8872
3039.73999023437,2902.0388
3046.89990234375,2916.7578
3050.71997070312,2917.58
3078.9599609375,2922.9685
3080.80004882812,2950.0833
3075.10009765625,2943.4377
3087.02001953125,2944.7078
3081.25,2954.1511
3080.330078125,2945.2952
3089.28002929688,2949.3533
3084.17993164062,2954.8203
3090.75,2948.9966
3107.919921875,2958.093
3117.90991210938,2971.5205
3127.44995117187,2978.9973
3114.65991210938,2988.0737
3108.48999023437,2973.3542
3111.40991210937,2973.3567
3117.43994140625,2973.6035
3134.85009765625,2979.1104
3145.48999023437,2995.2048
3147.17993164062,3001.2769
3143.85009765625,3004.1206
3087.40991210938,3000.4448
3103.5,2946.2515
3119.2099609375,2977.6636
3134.6201171875,2973.1394
3141.86010742187,2996.6912
3135.36010742187,2997.2253
3135.75,2992.5706
3141.22998046875,2995.5437
3166.64990234375,2998.371
3183.6298828125,3023.4978
3195.39990234375,3033.429
3195.2099609375,3045.6887
3192.32006835937,3043.0154
3223.330078125,3041.8865
3226.05004882812,3072.467
3225.44995117187,3064.259
3227.19995117188,3072.4443
3247.22998046875,3069.5986
3240.09008789062,3090.8826
3215.17993164062,3077.3433
3244.669921875,3060.0322
3226.36010742187,3092.1917
3217.55004882812,3059.4065
3241.86010742187,3068.7354
3238.59008789062,3083.3914
3266.03002929687,3076.1123
3281.81005859375,3110.6736
3271.1298828125,3111.251
3285.35009765625,3107.9036
3282.27001953125,3124.0828
3302.96997070312,3112.3352
3323.65991210937,3140.044
3321.03002929687,3149.6313
3330.02001953125,3147.4487
3315.77001953125,3159.351
3333.10009765625,3139.3035
3247.15991210937,3165.3228
3255.35009765625,3068.1597
3289.4599609375,3112.8857
3256.44995117187,3113.8008
3282.330078125,3090.0981
3235.65991210938,3127.2969
3280.61010742188,3060.731
3324.90991210937,3135.9126
3344.919921875,3143.0269
3335.5400390625,3172.9485
3318.28002929687,3156.938
3365.8701171875,3147.4019
3370.5,3195.1758
3365.89990234375,3180.471
3378.080078125,3191.3315
3369.0400390625,3196.3901
3380.38989257812,3185.0645
3380.44995117187,3203.2502
3360.5,3193.775
3257.61010742187,3179.8276
3238.93994140625,3080.818
3139.89990234375,3093.0808
3062.5400390625,2972.9717
2916.89990234375,2940.0227
2974.28002929687,2789.1738
3096.4599609375,2884.9062
3045.75,2954.9395
3075.69995117187,2901.9058
2954.19995117187,2963.431
2863.88989257812,2809.9998
2813.47998046875,2778.9004
2825.60009765625,2713.3357
2630.86010742188,2735.2378
2569.98999023437,2536.6814
2508.59008789062,2531.6443
2425.65991210938,2441.5571
2436.5,2382.4792
2393.47998046875,2395.289
2431.93994140625,2341.4792
2290.7099609375,2392.0945
2344.43994140625,2241.5588
