Predicted,Actual
20.968868255615234,21.51
21.86672592163086,22.43
22.568557739257812,22.93
22.808929443359375,23.63
23.469539642333984,24.54
24.533676147460938,24.22
23.58091926574707,23.78
22.88874053955078,23.19
22.192096710205078,19.84
18.561607360839844,18.94
18.463239669799805,17.92
17.22830581665039,17.09
16.644088745117188,16.76
16.5183048248291,16.41
16.129253387451172,16.4
16.619524002075195,15.86
15.59804916381836,14.99
14.712554931640625,14.47
14.292389869689941,13.95
13.739706993103027,14.08
14.298495292663574,14.11
14.256075859069824,14.92
15.942171096801758,15.8
16.7691650390625,16.23
16.78836441040039,16.49
16.71431541442871,16.39
16.233497619628906,16.23
15.923721313476562,17.01
17.364471435546875,17.47
17.59604835510254,17.47
17.28565216064453,17.44
17.150531768798828,17.16
16.72373390197754,17.06
16.780651092529297,16.73
16.299104690551758,16.06
15.502287864685059,16.05
15.862165451049805,16.12
16.108028411865234,16.01
15.953022956848145,15.78
15.58010196685791,15.58
15.412843704223633,15.56
15.560080528259277,15.53
15.53860855102539,15.51
15.508172035217285,16.21
16.830007553100586,17.04
17.793804168701172,18.56
19.907167434692383,19.3
19.85316276550293,20.72
21.66598892211914,22.38
23.21799659729004,22.68
22.802196502685547,22.61
22.237655639648438,23.38
23.400407791137695,23.82
23.689346313476562,23.94
23.557151794433594,23.59
22.837230682373047,22.94
21.940340042114258,21.4
20.18518829345703,19.81
18.960344314575195,18.93
18.41699981689453,18.19
17.63461685180664,17.53
17.13055419921875,16.82
16.405887603759766,16.15
15.822216987609863,15.73
15.57596492767334,15.46
15.437969207763672,15.32
15.361620903015137,16.26
17.535463333129883,17.85
19.678306579589844,19.89
21.858531951904297,21.91
23.39788818359375,23.89
24.96044158935547,26.1
26.698352813720703,26.87
27.18179702758789,27.8
28.01142120361328,28.36
28.336257934570312,29.18
29.133588790893555,28.87
28.192764282226562,28.91
28.23080062866211,28.29
27.233793258666992,27.1
25.603595733642578,25.09
23.59083366394043,23.63
22.688457489013672,22.86
22.303985595703125,21.77
21.078163146972656,20.86
20.380582809448242,20.62
20.452009201049805,20.09
19.70505714416504,19.51
19.167770385742188,19.26
19.111385345458984,19.16
19.12502098083496,19.61
20.154293060302734,21.38
23.327495574951172,23.08
24.633739471435547,24.74
26.039106369018555,25.96
26.68313980102539,26.88
27.31743812561035,28.06
28.482688903808594,28.72
28.815271377563477,28.37
27.76215171813965,23.75
21.701557159423828,20.16
19.486228942871094,21.98
22.99069595336914,23.18
23.137516021728516,23.22
23.144332885742188,23.05
22.354515075683594,21.31
20.014972686767578,20.26
19.714176177978516,19.12
18.632049560546875,18.65
18.328128814697266,18.1
17.49798583984375,17.41
16.89263153076172,17.17
17.027080535888672,16.64
16.33241081237793,16.63
16.805923461914062,17.41
18.394947052001953,18.76
20.422143936157227,19.86
20.989673614501953,21.0
21.971940994262695,21.03
20.970882415771484,18.23
16.953372955322266,16.77
16.180330276489258,16.17
15.615224838256836,15.83
15.216073989868164,16.01
15.962475776672363,15.77
15.45020580291748,15.32
15.046521186828613,14.93
14.820672988891602,15.26
15.823027610778809,15.28
15.45604133605957,15.43
15.67527961730957,15.05
14.755732536315918,14.92
14.821083068847656,14.88
14.834174156188965,14.81
14.77646255493164,14.66
14.505036354064941,14.62
14.533608436584473,14.42
14.255536079406738,14.59
14.759306907653809,15.29
15.9458646774292,16.26
17.16180419921875,17.56
18.652355194091797,19.29
20.549396514892578,20.0
20.47652244567871,20.76
21.111583709716797,21.38
21.457809448242188,21.89
21.854267120361328,22.83
23.001018524169922,22.51
21.912067413330078,22.69
22.289419174194336,22.79
22.410621643066406,22.69
22.242401123046875,21.93
20.920886993408203,21.25
20.367238998413086,20.51
19.748336791992188,20.09
19.54765510559082,19.45
18.846263885498047,18.55
17.916847229003906,17.88
17.45100212097168,16.74
16.18695640563965,16.15
15.905195236206055,15.6
15.291024208068848,15.43
15.415206909179688,15.95
16.660194396972656,16.72
17.80419158935547,18.55
20.694042205810547,20.14
21.607059478759766,22.16
23.722736358642578,23.38
24.068864822387695,25.03
25.709348678588867,25.62
25.784915924072266,25.81
25.62535858154297,26.06
25.725732803344727,26.63
26.419021606445312,25.99
24.981325149536133,25.85
25.057552337646484,25.3
24.367382049560547,24.02
22.681015014648438,22.36
21.252479553222656,21.93
21.504608154296875,21.45
20.923032760620117,19.82
18.928611755371094,18.0
17.358722686767578,17.29
16.98681640625,17.03
16.896411895751953,16.94
16.993396759033203,16.6
16.386667251586914,16.03
15.704972267150879,15.82
15.800997734069824,16.07
16.49842643737793,16.48
17.13115119934082,16.99
17.563447952270508,17.45
17.895111083984375,17.48
17.49599838256836,17.32
17.081340789794922,17.97
18.388198852539062,18.96
19.60064125061035,18.38
17.829008102416992,16.47
15.480191230773926,16.15
15.820940971374512,16.02
15.603987693786621,15.51
15.08155345916748,15.48
15.391398429870605,15.36
15.198899269104004,15.25
15.246596336364746,14.92
14.801004409790039,14.8
14.827139854431152,14.82
14.87187385559082,14.84
14.917823791503906,14.89
14.986401557922363,14.83
14.791326522827148,15.01
15.173325538635254,15.39
15.719428062438965,16.85
18.150346755981445,17.71
18.381607055664062,18.07
18.318952560424805,19.89
21.02410888671875,20.51
20.791040420532227,21.03
21.171083450317383,21.01
20.623003005981445,21.2
20.879636764526367,21.15
20.62890625,20.89
20.238323211669922,20.72
20.159738540649414,20.19
